Lionel Messi,,,,,,,,,,,,,,,,,
Club,Season,League,,Cup,,Europe,,Other,,Total,,,,,,,
,,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,,,,,,
???????????????????????????????????,,,,,,,,,,,,,,,,,
???????????????????????????????????,,,,,,,,,,,,,,,,,
Barcelona,,,,,,,,,,,,,,,,,
,2004?05,7,1,1,0,1,0,0,0,9,1,,,,,,
,2005?06,17,6,2,1,6,1,0,0,25,8,,,,,,
,2006?07,26,14,2,2,5,1,3,0,36,17,,,,,,
,2007?08,28,10,3,0,9,6,0,0,40,16,,,,,,
,2008?09,31,23,8,6,12,9,0,0,51,38,,,,,,
,2009?10,35,34,3,1,11,8,4,4,53,47,,,,,,
,2010?11,33,31,7,7,13,12,2,3,55,53,,,,,,
,2011?12,37,50,7,3,11,14,5,6,60,73,,,,,,
,2012?13,32,46,5,4,11,8,2,2,50,60,,,,,,
,2013?14,31,28,6,5,7,8,2,0,46,41,,,,,,
,2014?15,38,43,6,5,13,10,0,0,57,58,,,,,,
,2015?16,33,26,5,5,7,6,4,4,49,41,,,,,,
,2016?17,34,37,7,5,9,11,2,1,52,54,,,,,,
,2017?18,36,34,6,4,10,6,2,1,54,45,,,,,,
,2018?19,34,36,5,3,10,12,1,0,50,51,,,,,,
,2019?20,24,21,2,2,6,2,1,1,33,26,,,,,,
Total,,476,440,75,53,141,114,28,22,720,629,,,,,,
